"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"BeModelMedicationRecordSummaryView","","","",0,*,"","","","","Medication Record Treatment View logical model","","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"BeModelMedicationRecordSummaryView.identifier","","","",0,1,"","","","Identifier {[]} {[]}
","The business identifier(s) for the medication treatment","The business identifier(s) for the medication treatment","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordSummaryView.identifier",0,1,"",""
"BeModelMedicationRecordSummaryView.subject","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient]]}
","","","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordSummaryView.subject",1,1,"",""
"BeModelMedicationRecordSummaryView.status","","","",1,1,"","","","code {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordSummaryView.status",1,1,"",""
"BeModelMedicationRecordSummaryView.intent","","","",1,1,"","","","code {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordSummaryView.intent",1,1,"",""
"BeModelMedicationRecordSummaryView.category","","","",0,*,"","","","CodeableConcept {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordSummaryView.category",0,*,"",""
"BeModelMedicationRecordSummaryView.title","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordSummaryView.title",0,1,"",""
"BeModelMedicationRecordSummaryView.description","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordSummaryView.description",0,1,"",""
"BeModelMedicationRecordSummaryView.encounter","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Encounter]]}
","","","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordSummaryView.encounter",0,1,"",""
"BeModelMedicationRecordSummaryView.period","","","",0,1,"","","","Period {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordSummaryView.period",0,1,"",""
"BeModelMedicationRecordSummaryView.created","","","",0,1,"","","","dateTime {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordSummaryView.created",0,1,"",""
"BeModelMedicationRecordSummaryView.author","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient], CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole], CanonicalType[http://hl7.org/fhir/StructureDefinition/Device], CanonicalType[http://hl7.org/fhir/StructureDefinition/RelatedPerson], CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization], CanonicalType[http://hl7.org/fhir/StructureDefinition/CareTeam]]}
","","","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordSummaryView.author",0,1,"",""
"BeModelMedicationRecordSummaryView.supportingInfo","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Resource]]}
","","","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordSummaryView.supportingInfo",0,*,"",""
"BeModelMedicationRecordSummaryView.goal","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Goal]]}
","Desired outcome of plan","Desired outcome of plan","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordSummaryView.goal",0,*,"",""
